

############
### COST ###
############

@corvette_reactor_cost_6 = 37
@corvette_reactor_cost_7 = 47
@corvette_reactor_cost_8 = 58
@corvette_reactor_cost_9 = 70
@corvette_reactor_cost_10 = 83
@corvette_reactor_cost_11 = 97

@destroyer_reactor_cost_6 = 74
@destroyer_reactor_cost_7 = 94
@destroyer_reactor_cost_8 = 116
@destroyer_reactor_cost_9 = 140
@destroyer_reactor_cost_10 = 166
@destroyer_reactor_cost_11 = 194

@cruiser_reactor_cost_6 = 148
@cruiser_reactor_cost_7 = 188
@cruiser_reactor_cost_8 = 232
@cruiser_reactor_cost_9 = 280
@cruiser_reactor_cost_10 = 332
@cruiser_reactor_cost_11 = 388

@Battlecruiser_reactor_cost_1 = 60
@Battlecruiser_reactor_cost_2 = 78
@Battlecruiser_reactor_cost_3 = 102
@Battlecruiser_reactor_cost_4 = 132
@Battlecruiser_reactor_cost_5 = 168
@Battlecruiser_reactor_cost_6 = 222
@Battlecruiser_reactor_cost_7 = 282
@Battlecruiser_reactor_cost_8 = 348
@Battlecruiser_reactor_cost_9 = 420
@Battlecruiser_reactor_cost_10 = 498
@Battlecruiser_reactor_cost_11 = 582

@battleship_reactor_cost_6 = 296
@battleship_reactor_cost_7 = 376
@battleship_reactor_cost_8 = 464
@battleship_reactor_cost_9 = 560
@battleship_reactor_cost_10 = 664
@battleship_reactor_cost_11 = 776

@Dreadnought_reactor_cost_1 = 120
@Dreadnought_reactor_cost_2 = 156
@Dreadnought_reactor_cost_3 = 204
@Dreadnought_reactor_cost_4 = 264
@Dreadnought_reactor_cost_5 = 336
@Dreadnought_reactor_cost_6 = 444
@Dreadnought_reactor_cost_7 = 564
@Dreadnought_reactor_cost_8 = 696
@Dreadnought_reactor_cost_9 = 840
@Dreadnought_reactor_cost_10 = 996
@Dreadnought_reactor_cost_11 = 1164

@titan_reactor_cost_6 = 592
@titan_reactor_cost_7 = 752
@titan_reactor_cost_8 = 928
@titan_reactor_cost_9 = 1120
@titan_reactor_cost_10 = 1328
@titan_reactor_cost_11 = 1552

@juggernaut_reactor_cost_6 = 1910
@juggernaut_reactor_cost_7 = 2330
@juggernaut_reactor_cost_8 = 2800
@juggernaut_reactor_cost_9 = 3320
@juggernaut_reactor_cost_10 = 3890
@juggernaut_reactor_cost_11 = 4510

@colossus_reactor_cost_1 = 0

@Flagship_cost = 3070

@platform_reactor_cost_6 = 74
@platform_reactor_cost_7 = 100
@platform_reactor_cost_8 = 110
