#############
### POWER ###
#############
@corvette_power_1 = 75
@corvette_power_2 = 100
@corvette_power_3 = 130
@corvette_power_4 = 170
@corvette_power_5 = 220
@corvette_power_6 = 285
@corvette_power_7 = 350
@corvette_power_8 = 375
@corvette_power_9 = 415
@corvette_power_10 = 480
@corvette_power_11 = 545

@destroyer_power_1 = 140
@destroyer_power_2 = 180
@destroyer_power_3 = 240
@destroyer_power_4 = 320
@destroyer_power_5 = 430
@destroyer_power_6 = 550
@destroyer_power_7 = 670
@destroyer_power_8 = 790
@destroyer_power_9 = 910
@destroyer_power_10 = 1030
@destroyer_power_11 = 1150

@cruiser_power_1 = 280
@cruiser_power_2 = 360
@cruiser_power_3 = 480
@cruiser_power_4 = 620
@cruiser_power_5 = 800
@cruiser_power_6 = 1030
@cruiser_power_7 = 1260
@cruiser_power_8 = 1490
@cruiser_power_9 = 1720
@cruiser_power_10 = 1950
@cruiser_power_11 = 2180

@colossus_power = 10000

@StrikeCruiser_power_1 = 480
@StrikeCruiser_power_2 = 610
@StrikeCruiser_power_3 = 800
@StrikeCruiser_power_4 = 1040
@StrikeCruiser_power_5 = 1345
@StrikeCruiser_power_6 = 1725
@StrikeCruiser_power_7 = 2100
@StrikeCruiser_power_8 = 2475
@StrikeCruiser_power_9 = 2850
@StrikeCruiser_power_10 = 3230
@StrikeCruiser_power_11 = 3610

@Battlecruiser_power_1 = 675
@Battlecruiser_power_2 = 825
@Battlecruiser_power_3 = 1125
@Battlecruiser_power_4 = 1455
@Battlecruiser_power_5 = 1890
@Battlecruiser_power_6 = 2415
@Battlecruiser_power_7 = 2940
@Battlecruiser_power_8 = 3465
@Battlecruiser_power_9 = 3990
@Battlecruiser_power_10 = 4515
@Battlecruiser_power_11 = 5040

@battleship_power_1 = 1100
@battleship_power_2 = 1440
@battleship_power_3 = 1900
@battleship_power_4 = 2500
@battleship_power_5 = 3100
@battleship_power_6 = 4000
@battleship_power_7 = 4900
@battleship_power_8 = 5800
@battleship_power_9 = 6700
